"","host","phage"
"1388","Cucumis","PHAGE_Escher_D108"
"1389","Cucumis","PHAGE_Entero_Mu"
"1390","Cucumis","PHAGE_Entero_SfMu"
"1391","Cucumis","PHAGE_Vibrio_12B12"
"1392","Cucumis","PHAGE_Entero_HK97"
"1393","Cucumis","PHAGE_Mannhe_vB_MhM_3927AP2"
"1394","Cucumis","PHAGE_Entero_HK106"
"1395","Cucumis","PHAGE_Entero_SfV"
"1396","Cucumis","PHAGE_Pseudo_JBD5"
"1397","Cucumis","PHAGE_Escher_pro483"
"1398","Cucumis","PHAGE_Salmon_118970_sal3"
"1399","Cucumis","PHAGE_Salmon_ST64B"
"1400","Cucumis","PHAGE_Shigel_SfIV"
"1401","Cucumis","PHAGE_Pseudo_MP38"
"1402","Cucumis","PHAGE_Pseudo_DMS3"
"1403","Cucumis","PHAGE_Pseudo_MP29"
"1404","Cucumis","PHAGE_Yersin_phiR1_37"
"1405","Cucumis","PHAGE_Pseudo_JD024"
"1406","Cucumis","PHAGE_Entero_HK630"
"1407","Cucumis","PHAGE_Pseudo_JBD25"
"1408","Cucumis","PHAGE_Burkho_BcepMu"
"1409","Cucumis","PHAGE_Haemop_SuMu"
"1410","Cucumis","PHAGE_Pseudo_JBD24"
"1411","Cucumis","PHAGE_Pseudo_phi3"
"1412","Cucumis","PHAGE_Entero_SfI"
"1414","Cucumis","PHAGE_Shigel_SfII"
"1417","Cucumis","PHAGE_Entero_phiP27"
"1419","Cucumis","PHAGE_Burkho_phiE255"
"1421","Cucumis","PHAGE_Vibrio_X29"
"1424","Cucumis","PHAGE_Salmon_SPN3UB"
"1426","Cucumis","PHAGE_Haemop_HP1"
"1428","Cucumis","PHAGE_Entero_YYZ_2008"
"1429","Cucumis","PHAGE_Entero_mEp460"
"1430","Cucumis","PHAGE_Entero_cdtI"
"1431","Cucumis","PHAGE_Bacter_Lily"
"1433","Cucumis","PHAGE_Burkho_AH2"
"1434","Cucumis","PHAGE_Haemop_HP2"
"1436","Cucumis","PHAGE_Staphy_SPbeta_like"
"1437","Cucumis","PHAGE_Pseudo_B3"
"1441","Cucumis","PHAGE_Mannhe_vB_MhS_1152AP2"
"1443","Cucumis","PHAGE_Escher_TL_2011b"
"1445","Cucumis","PHAGE_Burkho_BcepIL02"
"1446","Cucumis","PHAGE_Phage_Gifsy_1"
"1447","Cucumis","PHAGE_Pseudo_vB_PaeS_PM105"
"1449","Cucumis","PHAGE_Staphy_SA1"
"1451","Cucumis","PHAGE_Mannhe_vB_MhS_535AP2"
"1452","Cucumis","PHAGE_Prochl_P_TIM68"
"1453","Cucumis","PHAGE_Synech_S_SM2"
"1454","Cucumis","PHAGE_Salmon_SSU5"
"1455","Cucumis","PHAGE_Clostr_c_st"
"1456","Cucumis","PHAGE_Oenoco_phiS11"
"1457","Cucumis","PHAGE_Shigel_POCJ13"
"1458","Cucumis","PHAGE_Erwini_phiEa2809"
"1460","Cucumis","PHAGE_Ralsto_RSY1"
"1461","Cucumis","PHAGE_Spirop_1_C74"
"1462","Cucumis","PHAGE_Burkho_phi6442"
"1463","Cucumis","PHAGE_Vibrio_VHML"
"1465","Cucumis","PHAGE_Burkho_phiE12_2"
"1467","Cucumis","PHAGE_Sulfol_SMV1"
"1468","Cucumis","PHAGE_Ralsto_RSL2"
"1469","Cucumis","PHAGE_Burkho_DC1"
"1470","Cucumis","PHAGE_Cronob_ENT47670"
"1471","Cucumis","PHAGE_Burkho_phiE125"
"1473","Cucumis","PHAGE_Helico_phiHP33"
"1474","Cucumis","PHAGE_Clostr_phiCD211"
"1475","Cucumis","PHAGE_Burkho_phiE202"
"1476","Cucumis","PHAGE_Salmon_SE1"
"1477","Cucumis","PHAGE_Aeromo_vB_AsaM_56"
"1478","Cucumis","PHAGE_Rhodob_RcapMu"
"1481","Cucumis","PHAGE_Entero_BP_4795"
"1482","Cucumis","PHAGE_Burkho_phi52237"
"1483","Cucumis","PHAGE_Salmon_vB_SosS_Oslo"
"1484","Cucumis","PHAGE_Bacill_SPbeta"
"1485","Cucumis","PHAGE_Bacill_G"
"1486","Cucumis","PHAGE_Stx2_c_1717"
"1487","Cucumis","PHAGE_Entero_mEp237"
"1488","Cucumis","PHAGE_Mannhe_vB_MhM_587AP1"
"1489","Cucumis","PHAGE_Burkho_KS14"
"1490","Cucumis","PHAGE_Escher_phiV10"
"1491","Cucumis","PHAGE_Edward_GF_2"
"1492","Cucumis","PHAGE_Vibrio_VP58.5"
"1493","Cucumis","PHAGE_Plankt_PaV_LD"
"1494","Cucumis","PHAGE_Salmon_ST160"
"1496","Cucumis","PHAGE_Entero_ST104"
"1497","Cucumis","PHAGE_Salmon_FSLSP030"
"1498","Cucumis","PHAGE_Salmon_Fels_2"
"1500","Cucumis","PHAGE_Escher_P13374"
"1501","Cucumis","PHAGE_Salmon_epsilon15"
"1502","Cucumis","PHAGE_Staphy_StauST398_5"
"1504","Cucumis","PHAGE_Gordon_Zirinka"
"1507","Cucumis","PHAGE_Burkho_BcepMigl"
"1509","Cucumis","PHAGE_Entero_P1"
"1510","Cucumis","PHAGE_Salmon_SPN1S"
"1512","Cucumis","PHAGE_Escher_vB_EcoM_ep3"
